timestamp,valor,datahora
1756015872257,23.5,24/08/2025 03:11
1756015882261,23.5,24/08/2025 03:11
1756015892268,23.5,24/08/2025 03:11
1756015902256,23.4,24/08/2025 03:11
1756015912262,23.5,24/08/2025 03:11
1756015922258,23.5,24/08/2025 03:12
1756015932267,23.4,24/08/2025 03:12
1756015942271,23.5,24/08/2025 03:12
1756015952282,23.5,24/08/2025 03:12
1756015962328,23.4,24/08/2025 03:12
1756015972418,23.4,24/08/2025 03:12
1756015982265,23.6,24/08/2025 03:13
1756015992259,23.5,24/08/2025 03:13
1756016002269,23.5,24/08/2025 03:13
1756016012263,23.4,24/08/2025 03:13
1756016022260,23.5,24/08/2025 03:13
1756016032258,23.5,24/08/2025 03:13
1756016042263,23.5,24/08/2025 03:14
1756016052276,23.6,24/08/2025 03:14
1756016062262,23.5,24/08/2025 03:14
1756016072260,23.6,24/08/2025 03:14
1756016082267,23.4,24/08/2025 03:14
1756016092265,23.6,24/08/2025 03:14
1756016102285,23.5,24/08/2025 03:15
1756016112281,23.5,24/08/2025 03:15
1756016122259,23.5,24/08/2025 03:15
1756016132290,23.5,24/08/2025 03:15
1756016142272,23.5,24/08/2025 03:15
1756016152686,23.5,24/08/2025 03:15
1756016162467,23.4,24/08/2025 03:16
1756016172378,23.5,24/08/2025 03:16
1756016182734,23.5,24/08/2025 03:16
1756016192265,23.5,24/08/2025 03:16
1756016202278,23.5,24/08/2025 03:16
1756016212285,23.5,24/08/2025 03:16
1756016222360,23.5,24/08/2025 03:17
1756016232375,23.5,24/08/2025 03:17
1756016242433,23.5,24/08/2025 03:17
1756016252255,23.6,24/08/2025 03:17
1756016262256,23.6,24/08/2025 03:17
1756016272257,23.6,24/08/2025 03:17
1756016282263,23.5,24/08/2025 03:18
1756016292254,23.5,24/08/2025 03:18
1756016302265,23.5,24/08/2025 03:18
1756016312262,23.5,24/08/2025 03:18
1756016322252,23.6,24/08/2025 03:18
1756016332248,23.6,24/08/2025 03:18
1756016342251,23.6,24/08/2025 03:19
1756016352251,23.6,24/08/2025 03:19
1756016362243,23.7,24/08/2025 03:19
1756016372243,23.7,24/08/2025 03:19
1756016382254,23.6,24/08/2025 03:19
1756016392273,23.5,24/08/2025 03:19
1756016402280,23.5,24/08/2025 03:20
1756016412254,23.6,24/08/2025 03:20
1756016422226,23.6,24/08/2025 03:20
1756016432238,23.7,24/08/2025 03:20
1756016442247,23.6,24/08/2025 03:20
1756016452220,23.6,24/08/2025 03:20
1756016462237,23.5,24/08/2025 03:21
1756016472243,23.6,24/08/2025 03:21
1756016482217,23.6,24/08/2025 03:21
1756016492219,23.6,24/08/2025 03:21
1756016502224,23.6,24/08/2025 03:21
1756016512223,23.6,24/08/2025 03:21
1756016522225,23.6,24/08/2025 03:22
1756016532215,23.7,24/08/2025 03:22
1756016542219,23.6,24/08/2025 03:22
1756016552208,23.6,24/08/2025 03:22
1756016562211,23.6,24/08/2025 03:22
1756016572224,23.6,24/08/2025 03:22
1756016582198,23.7,24/08/2025 03:23
1756016592197,23.7,24/08/2025 03:23
1756016602210,23.5,24/08/2025 03:23
1756016612203,23.7,24/08/2025 03:23
1756016622215,23.7,24/08/2025 03:23
1756016632191,23.6,24/08/2025 03:23
1756016642206,23.7,24/08/2025 03:24
1756016652183,23.6,24/08/2025 03:24
1756016662190,23.6,24/08/2025 03:24
1756016672194,23.7,24/08/2025 03:24
1756016682196,23.7,24/08/2025 03:24
1756016692169,23.7,24/08/2025 03:24
1756016702195,23.6,24/08/2025 03:25
1756016712199,23.7,24/08/2025 03:25
1756016722200,23.7,24/08/2025 03:25
1756016732187,23.6,24/08/2025 03:25
1756016742191,23.7,24/08/2025 03:25
1756016752183,23.7,24/08/2025 03:25
1756016762177,23.6,24/08/2025 03:26
1756016772156,23.7,24/08/2025 03:26
1756016782172,23.7,24/08/2025 03:26
1756016792156,23.7,24/08/2025 03:26
1756016802165,23.7,24/08/2025 03:26
1756016812159,23.7,24/08/2025 03:26
1756016822239,23.7,24/08/2025 03:27
1756016832158,23.6,24/08/2025 03:27
1756016842155,23.6,24/08/2025 03:27
1756016852150,23.7,24/08/2025 03:27
1756016862136,23.7,24/08/2025 03:27
1756016872136,23.7,24/08/2025 03:27
1756016882161,23.6,24/08/2025 03:28
1756016892140,23.6,24/08/2025 03:28
1756016902158,23.7,24/08/2025 03:28
1756016912135,23.6,24/08/2025 03:28
1756016922142,23.6,24/08/2025 03:28
1756016932131,23.7,24/08/2025 03:28
1756016942144,23.6,24/08/2025 03:29
1756016952123,23.7,24/08/2025 03:29
1756016962132,23.6,24/08/2025 03:29
1756016972128,23.6,24/08/2025 03:29
1756016982127,23.6,24/08/2025 03:29
1756016992131,23.6,24/08/2025 03:29
1756017002305,23.6,24/08/2025 03:30
1756017012163,23.6,24/08/2025 03:30
1756017022116,23.6,24/08/2025 03:30
1756017032135,23.6,24/08/2025 03:30
1756017042113,23.7,24/08/2025 03:30
1756017052109,23.7,24/08/2025 03:30
1756017062106,23.7,24/08/2025 03:31
1756017072097,23.6,24/08/2025 03:31
1756017082105,23.6,24/08/2025 03:31
1756017092112,23.6,24/08/2025 03:31
1756017102132,23.6,24/08/2025 03:31
1756017112093,23.6,24/08/2025 03:31
1756017122093,23.5,24/08/2025 03:32
1756017132095,23.6,24/08/2025 03:32
1756017142086,23.6,24/08/2025 03:32
1756017152089,23.7,24/08/2025 03:32
1756017162096,23.6,24/08/2025 03:32
1756017172081,23.6,24/08/2025 03:32
1756017182088,23.6,24/08/2025 03:33
1756017192087,23.6,24/08/2025 03:33
1756017202074,23.6,24/08/2025 03:33
1756017212282,23.6,24/08/2025 03:33
1756017222065,23.5,24/08/2025 03:33
1756017232084,23.6,24/08/2025 03:33
1756017242066,23.5,24/08/2025 03:34
1756017252082,23.6,24/08/2025 03:34
1756017262088,23.5,24/08/2025 03:34
1756017272067,23.6,24/08/2025 03:34
1756017282069,23.6,24/08/2025 03:34
1756017292272,23.6,24/08/2025 03:34
1756017302275,23.6,24/08/2025 03:35
1756017312274,23.5,24/08/2025 03:35
1756017322273,23.5,24/08/2025 03:35
1756017332259,23.5,24/08/2025 03:35
1756017342072,23.5,24/08/2025 03:35
1756017352270,23.6,24/08/2025 03:35
1756017362290,23.5,24/08/2025 03:36
1756017372273,23.5,24/08/2025 03:36
1756017382262,23.4,24/08/2025 03:36
1756017392281,23.6,24/08/2025 03:36
