timestamp,temp_amb1,date (America/Sao_Paulo)
1774640305642,25.3,2026-03-27 16:38:25.642000-03:00
1774640295723,25.3,2026-03-27 16:38:15.723000-03:00
1774640285789,25.3,2026-03-27 16:38:05.789000-03:00
1774640285151,25.3,2026-03-27 16:38:05.151000-03:00
1774640275677,25.2,2026-03-27 16:37:55.677000-03:00
1774640275189,25.2,2026-03-27 16:37:55.189000-03:00
1774640265663,25.4,2026-03-27 16:37:45.663000-03:00
1774640265140,25.4,2026-03-27 16:37:45.140000-03:00
1774640245632,25.3,2026-03-27 16:37:25.632000-03:00
1774640235698,25.3,2026-03-27 16:37:15.698000-03:00
1774640225751,25.3,2026-03-27 16:37:05.751000-03:00
1774640216679,25.2,2026-03-27 16:36:56.679000-03:00
1774640215428,25.2,2026-03-27 16:36:55.428000-03:00
1774640205875,25.2,2026-03-27 16:36:45.875000-03:00
1774640205199,25.2,2026-03-27 16:36:45.199000-03:00
1774640195736,25.3,2026-03-27 16:36:35.736000-03:00
1774640195204,25.3,2026-03-27 16:36:35.204000-03:00
1774640185950,25.3,2026-03-27 16:36:25.950000-03:00
1774640185181,25.3,2026-03-27 16:36:25.181000-03:00
1774640175988,25.3,2026-03-27 16:36:15.988000-03:00
1774640165988,25.3,2026-03-27 16:36:05.988000-03:00
1774640155715,25.3,2026-03-27 16:35:55.715000-03:00
1774640155251,25.3,2026-03-27 16:35:55.251000-03:00
1774640146157,25.3,2026-03-27 16:35:46.157000-03:00
1774640137144,25.3,2026-03-27 16:35:37.144000-03:00
1774640125690,25.3,2026-03-27 16:35:25.690000-03:00
1774640115845,25.4,2026-03-27 16:35:15.845000-03:00
1774640115185,25.4,2026-03-27 16:35:15.185000-03:00
1774640105901,25.3,2026-03-27 16:35:05.901000-03:00
1774640105211,25.3,2026-03-27 16:35:05.211000-03:00
1774640095756,25.3,2026-03-27 16:34:55.756000-03:00
1774640085719,25.3,2026-03-27 16:34:45.719000-03:00
1774640085187,25.3,2026-03-27 16:34:45.187000-03:00
1774640075751,25.4,2026-03-27 16:34:35.751000-03:00
1774640075221,25.4,2026-03-27 16:34:35.221000-03:00
1774640065728,25.4,2026-03-27 16:34:25.728000-03:00
1774640045780,25.4,2026-03-27 16:34:05.780000-03:00
1774640035698,25.3,2026-03-27 16:33:55.698000-03:00
1774640025892,25.4,2026-03-27 16:33:45.892000-03:00
1774640025191,25.4,2026-03-27 16:33:45.191000-03:00
1774640015234,25.4,2026-03-27 16:33:35.234000-03:00
1774640005679,25.5,2026-03-27 16:33:25.679000-03:00
1774639995225,25.4,2026-03-27 16:33:15.225000-03:00
1774639985710,25.4,2026-03-27 16:33:05.710000-03:00
1774639976217,25.3,2026-03-27 16:32:56.217000-03:00
1774639975884,25.3,2026-03-27 16:32:55.884000-03:00
1774639965285,25.3,2026-03-27 16:32:45.285000-03:00
1774639956661,25.4,2026-03-27 16:32:36.661000-03:00
1774639945789,25.3,2026-03-27 16:32:25.789000-03:00
1774639936132,25.4,2026-03-27 16:32:16.132000-03:00
1774639935651,25.4,2026-03-27 16:32:15.651000-03:00
1774639925879,25.4,2026-03-27 16:32:05.879000-03:00
1774639925216,25.4,2026-03-27 16:32:05.216000-03:00
1774639915810,25.5,2026-03-27 16:31:55.810000-03:00
1774639906012,25.5,2026-03-27 16:31:46.012000-03:00
1774639905338,25.5,2026-03-27 16:31:45.338000-03:00
1774639895779,25.6,2026-03-27 16:31:35.779000-03:00
1774639886590,25.5,2026-03-27 16:31:26.590000-03:00
1774639875719,25.5,2026-03-27 16:31:15.719000-03:00
1774639865715,25.5,2026-03-27 16:31:05.715000-03:00
1774639856564,25.5,2026-03-27 16:30:56.564000-03:00
1774639845756,25.5,2026-03-27 16:30:45.756000-03:00
1774639845238,25.5,2026-03-27 16:30:45.238000-03:00
1774639836088,25.6,2026-03-27 16:30:36.088000-03:00
1774639835285,25.6,2026-03-27 16:30:35.285000-03:00
1774639832968,25.4,2026-03-27 16:30:32.968000-03:00
1774639832777,25.4,2026-03-27 16:30:32.777000-03:00
1774639831492,25.4,2026-03-27 16:30:31.492000-03:00
1774639828420,25.4,2026-03-27 16:30:28.420000-03:00
1774639815770,25.5,2026-03-27 16:30:15.770000-03:00
1774639805749,25.5,2026-03-27 16:30:05.749000-03:00
1774639795774,25.6,2026-03-27 16:29:55.774000-03:00
1774639786186,25.6,2026-03-27 16:29:46.186000-03:00
1774639785295,25.6,2026-03-27 16:29:45.295000-03:00
1774639775794,25.7,2026-03-27 16:29:35.794000-03:00
1774639765730,25.6,2026-03-27 16:29:25.730000-03:00
1774639765275,25.6,2026-03-27 16:29:25.275000-03:00
1774639755916,25.7,2026-03-27 16:29:15.916000-03:00
1774639745859,25.6,2026-03-27 16:29:05.859000-03:00
1774639735810,25.7,2026-03-27 16:28:55.810000-03:00
1774639735431,25.7,2026-03-27 16:28:55.431000-03:00
1774639725981,25.7,2026-03-27 16:28:45.981000-03:00
1774639725267,25.7,2026-03-27 16:28:45.267000-03:00
1774639715767,25.7,2026-03-27 16:28:35.767000-03:00
1774639705775,25.7,2026-03-27 16:28:25.775000-03:00
1774639695688,25.7,2026-03-27 16:28:15.688000-03:00
1774639690713,25.6,2026-03-27 16:28:10.713000-03:00
1774639690534,25.6,2026-03-27 16:28:10.534000-03:00
1774639688927,25.6,2026-03-27 16:28:08.927000-03:00
1774639687914,25.6,2026-03-27 16:28:07.914000-03:00
1774639675425,25.6,2026-03-27 16:27:55.425000-03:00
1774639667505,25.6,2026-03-27 16:27:47.505000-03:00
1774639667283,25.6,2026-03-27 16:27:47.283000-03:00
1774639666850,25.6,2026-03-27 16:27:46.850000-03:00
1774639655978,25.6,2026-03-27 16:27:35.978000-03:00
1774639646570,25.6,2026-03-27 16:27:26.570000-03:00
1774639635893,25.5,2026-03-27 16:27:15.893000-03:00
1774639635308,25.5,2026-03-27 16:27:15.308000-03:00
1774639626016,25.6,2026-03-27 16:27:06.016000-03:00
1774639625484,25.6,2026-03-27 16:27:05.484000-03:00
1774639617552,25.6,2026-03-27 16:26:57.552000-03:00
1774639616409,25.5,2026-03-27 16:26:56.409000-03:00
1774639615382,25.5,2026-03-27 16:26:55.382000-03:00
1774639614863,25.5,2026-03-27 16:26:54.863000-03:00
1774639586079,25.6,2026-03-27 16:26:26.079000-03:00
1774639585296,25.6,2026-03-27 16:26:25.296000-03:00
1774639575797,25.5,2026-03-27 16:26:15.797000-03:00
1774639575317,25.5,2026-03-27 16:26:15.317000-03:00
1774639565774,25.4,2026-03-27 16:26:05.774000-03:00
1774639556025,25.5,2026-03-27 16:25:56.025000-03:00
1774639555336,25.5,2026-03-27 16:25:55.336000-03:00
1774639545798,25.6,2026-03-27 16:25:45.798000-03:00
1774639545307,25.6,2026-03-27 16:25:45.307000-03:00
1774639535833,25.6,2026-03-27 16:25:35.833000-03:00
1774639535343,25.6,2026-03-27 16:25:35.343000-03:00
1774639525811,25.7,2026-03-27 16:25:25.811000-03:00
1774639515825,25.7,2026-03-27 16:25:15.825000-03:00
1774639506059,25.7,2026-03-27 16:25:06.059000-03:00
1774639505326,25.7,2026-03-27 16:25:05.326000-03:00
1774639495832,25.7,2026-03-27 16:24:55.832000-03:00
1774639485456,25.8,2026-03-27 16:24:45.456000-03:00
1774639475839,25.7,2026-03-27 16:24:35.839000-03:00
1774639465831,25.7,2026-03-27 16:24:25.831000-03:00
1774639455815,25.7,2026-03-27 16:24:15.815000-03:00
1774639446117,25.7,2026-03-27 16:24:06.117000-03:00
1774639445326,25.7,2026-03-27 16:24:05.326000-03:00
1774639435813,25.7,2026-03-27 16:23:55.813000-03:00
1774639425799,25.7,2026-03-27 16:23:45.799000-03:00
1774639415826,25.6,2026-03-27 16:23:35.826000-03:00
1774639405976,25.7,2026-03-27 16:23:25.976000-03:00
1774639395845,25.6,2026-03-27 16:23:15.845000-03:00
1774639385856,25.6,2026-03-27 16:23:05.856000-03:00
1774639375846,25.6,2026-03-27 16:22:55.846000-03:00
1774639375390,25.6,2026-03-27 16:22:55.390000-03:00
1774639365812,25.6,2026-03-27 16:22:45.812000-03:00
1774639355841,25.6,2026-03-27 16:22:35.841000-03:00
1774639345844,25.6,2026-03-27 16:22:25.844000-03:00
1774639339008,25.6,2026-03-27 16:22:19.008000-03:00
1774639328796,25.6,2026-03-27 16:22:08.796000-03:00
1774639325409,25.6,2026-03-27 16:22:05.409000-03:00
1774639315823,25.6,2026-03-27 16:21:55.823000-03:00
1774639305853,25.6,2026-03-27 16:21:45.853000-03:00
1774639305354,25.6,2026-03-27 16:21:45.354000-03:00
1774639295826,25.4,2026-03-27 16:21:35.826000-03:00
1774639286089,25.5,2026-03-27 16:21:26.089000-03:00
1774639276099,25.4,2026-03-27 16:21:16.099000-03:00
1774639275394,25.4,2026-03-27 16:21:15.394000-03:00
1774639266066,25.5,2026-03-27 16:21:06.066000-03:00
1774639265382,25.5,2026-03-27 16:21:05.382000-03:00
1774639256073,25.4,2026-03-27 16:20:56.073000-03:00
1774639245872,25.4,2026-03-27 16:20:45.872000-03:00
1774639235999,25.4,2026-03-27 16:20:35.999000-03:00
1774639235431,25.4,2026-03-27 16:20:35.431000-03:00
1774639225886,25.4,2026-03-27 16:20:25.886000-03:00
1774639225383,25.4,2026-03-27 16:20:25.383000-03:00
1774639215391,25.4,2026-03-27 16:20:15.391000-03:00
1774639206049,25.4,2026-03-27 16:20:06.049000-03:00
1774639205390,25.4,2026-03-27 16:20:05.390000-03:00
1774639195896,25.5,2026-03-27 16:19:55.896000-03:00
1774639186685,25.5,2026-03-27 16:19:46.685000-03:00
1774639176017,25.5,2026-03-27 16:19:36.017000-03:00
1774639165521,25.6,2026-03-27 16:19:25.521000-03:00
1774639155920,25.5,2026-03-27 16:19:15.920000-03:00
1774639145872,25.6,2026-03-27 16:19:05.872000-03:00
1774639135877,25.5,2026-03-27 16:18:55.877000-03:00
1774639125935,25.5,2026-03-27 16:18:45.935000-03:00
1774639125423,25.5,2026-03-27 16:18:45.423000-03:00
1774639115845,25.5,2026-03-27 16:18:35.845000-03:00
1774639105899,25.4,2026-03-27 16:18:25.899000-03:00
1774639095901,25.5,2026-03-27 16:18:15.901000-03:00
1774639085915,25.5,2026-03-27 16:18:05.915000-03:00
1774639075718,25.5,2026-03-27 16:17:55.718000-03:00
